17,7682647;1;;R1-R2;*10^4;10000
17,3618965;579;;0,0003987;3,987;
17,3620281;580;;0,0001316;1,316;
17,3624286;581;;0,0004005;4,005;
17,3621864;582;;-0,0002422;-2,422;
17,3617134;583;;-0,000473;-4,73;
17,3615474;584;;-0,000166;-1,66;
17,3624095;585;;0,0008621;8,621;
17,3626384;586;;0,0002289;2,289;
17,3629398;587;;0,0003014;3,014;
17,362709;588;;-0,0002308;-2,308;
17,3632717;589;;0,0005627;5,627;
17,3628749;590;;-0,0003968;-3,968;
17,3630409;591;;0,000166;1,66;
17,3631706;592;;0,0001297;1,297;
17,363676;593;;0,0005054;5,054;
17,3637123;594;;3,63E-05;0,363;
17,3633117;595;;-0,0004006;-4,006;
17,3632946;596;;-1,71E-05;-0,171;
17,3637943;597;;0,0004997;4,997;
17,3636264;598;;-0,0001679;-1,679;
17,363615;599;;-1,14E-05;-0,114;
17,3641834;600;;0,0005684;5,684;
17,3640365;601;;-0,0001469;-1,469;
17,3645019;602;;0,0004654;4,654;
17,3646183;603;;0,0001164;1,164;
17,364748;604;;0,0001297;1,297;
17,3639469;605;;-0,0008011;-8,011;
17,3649826;606;;0,0010357;10,357;
17,3648509;607;;-0,0001317;-1,317;
17,3656806;608;;0,0008297;8,297;
17,3660297;609;;0,0003491;3,491;
17,3652973;610;;-0,0007324;-7,324;
17,3659896;611;;0,0006923;6,923;
17,3662776;612;;0,000288;2,88;
17,3656253;613;;-0,0006523;-6,523;
17,3659343;614;;0,000309;3,09;
17,3656425;615;;-0,0002918;-2,918;
17,3666534;616;;0,0010109;10,109;
17,3665828;617;;-7,06E-05;-0,706;
17,3663311;618;;-0,0002517;-2,517;
17,3665237;619;;0,0001926;1,926;
17,3665599;620;;3,62E-05;0,362;
17,3669223;621;;0,0003624;3,624;
17,3666591;622;;-0,0002632;-2,632;
17,3668384;623;;0,0001793;1,793;
17,3667984;624;;-4,00E-05;-0,4;
17,3672275;625;;0,0004291;4,291;
17,3674411;626;;0,0002136;2,136;
17,3677387;627;;0,0002976;2,976;
17,3678245;628;;8,58E-05;0,858;
17,3675441;629;;-0,0002804;-2,804;
17,3679466;630;;0,0004025;4,025;
17,3681964;631;;0,0002498;2,498;
17,3677234;632;;-0,000473;-4,73;
17,3684444;633;;0,000721;7,21;
17,3686828;634;;0,0002384;2,384;
17,368534;635;;-0,0001488;-1,488;
17,3679389;636;;-0,0005951;-5,951;
17,3687305;637;;0,0007916;7,916;
17,3690757;638;;0,0003452;3,452;
17,3689918;639;;-8,39E-05;-0,839;
17,3691921;640;;0,0002003;2,003;
17,3693943;641;;0,0002022;2,022;
17,3698863;642;;0,000492;4,92;
17,3700428;643;;0,0001565;1,565;
17,3700103;644;;-3,25E-05;-0,325;
17,3700942;645;;8,39E-05;0,839;
17,3701725;646;;7,83E-05;0,783;
17,3704433;647;;0,0002708;2,708;
17,3702316;648;;-0,0002117;-2,117;
17,3702316;649;;0;0;
17,3700904;650;;-0,0001412;-1,412;
17,3704185;651;;0,0003281;3,281;
17,3702449;652;;-0,0001736;-1,736;
17,3709106;653;;0,0006657;6,657;
17,3707199;654;;-0,0001907;-1,907;
17,3709869;655;;0,000267;2,67;
17,3709564;656;;-3,05E-05;-0,305;
